1670203015227|5|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|SELECT @@character_set_database|SELECT @@character_set_database
1670203016173|23|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table category drop foreign key FK2y94svpmqttx80mshyny85wqr|alter table category drop foreign key FK2y94svpmqttx80mshyny85wqr
1670203016185|11|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table category_item drop foreign key FKu8b4lwqutcdq3363gf6mlujq|alter table category_item drop foreign key FKu8b4lwqutcdq3363gf6mlujq
1670203016194|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table category_item drop foreign key FKcq2n0opf5shyh84ex1fhukcbh|alter table category_item drop foreign key FKcq2n0opf5shyh84ex1fhukcbh
1670203016204|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table order_item drop foreign key FKija6hjjiit8dprnmvtvgdp6ru|alter table order_item drop foreign key FKija6hjjiit8dprnmvtvgdp6ru
1670203016214|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table order_item drop foreign key FKt4dc2r9nbvbujrljv3e23iibt|alter table order_item drop foreign key FKt4dc2r9nbvbujrljv3e23iibt
1670203016226|11|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table orders drop foreign key FKtkrur7wg4d8ax0pwgo0vmy20c|alter table orders drop foreign key FKtkrur7wg4d8ax0pwgo0vmy20c
1670203016234|8|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table orders drop foreign key FKpktxwhj3x9m4gth5ff6bkqgeb|alter table orders drop foreign key FKpktxwhj3x9m4gth5ff6bkqgeb
1670203016260|25|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|drop table if exists category|drop table if exists category
1670203016271|11|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|drop table if exists category_item|drop table if exists category_item
1670203016285|12|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|drop table if exists delivery|drop table if exists delivery
1670203016297|11|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|drop table if exists item|drop table if exists item
1670203016307|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|drop table if exists member|drop table if exists member
1670203016320|12|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|drop table if exists order_item|drop table if exists order_item
1670203016330|9|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|drop table if exists orders|drop table if exists orders
1670203016351|18|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|create table category (category_id bigint not null auto_increment, name varchar(255), parent_id bigint, primary key (category_id)) engine=InnoDB|create table category (category_id bigint not null auto_increment, name varchar(255), parent_id bigint, primary key (category_id)) engine=InnoDB
1670203016371|19|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|create table category_item (category_id bigint not null, item_id bigint not null) engine=InnoDB|create table category_item (category_id bigint not null, item_id bigint not null) engine=InnoDB
1670203016404|31|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|create table delivery (delivery_id bigint not null auto_increment, city varchar(255), street varchar(255), zipcode varchar(255), status varchar(255), primary key (delivery_id)) engine=InnoDB|create table delivery (delivery_id bigint not null auto_increment, city varchar(255), street varchar(255), zipcode varchar(255), status varchar(255), primary key (delivery_id)) engine=InnoDB
1670203016435|30|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|create table item (dtype varchar(31) not null, item_id bigint not null auto_increment, name varchar(255), price integer not null, stock_quantity integer not null, artist varchar(255), etc varchar(255), author varchar(255), isbn varchar(255), actor varchar(255), director varchar(255), primary key (item_id)) engine=InnoDB|create table item (dtype varchar(31) not null, item_id bigint not null auto_increment, name varchar(255), price integer not null, stock_quantity integer not null, artist varchar(255), etc varchar(255), author varchar(255), isbn varchar(255), actor varchar(255), director varchar(255), primary key (item_id)) engine=InnoDB
1670203016461|25|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|create table member (member_id bigint not null auto_increment, city varchar(255), street varchar(255), zipcode varchar(255), name varchar(255), primary key (member_id)) engine=InnoDB|create table member (member_id bigint not null auto_increment, city varchar(255), street varchar(255), zipcode varchar(255), name varchar(255), primary key (member_id)) engine=InnoDB
1670203016491|29|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|create table order_item (order_item_id bigint not null auto_increment, count integer not null, order_price integer not null, item_id bigint, order_id bigint, primary key (order_item_id)) engine=InnoDB|create table order_item (order_item_id bigint not null auto_increment, count integer not null, order_price integer not null, item_id bigint, order_id bigint, primary key (order_item_id)) engine=InnoDB
1670203016540|47|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|create table orders (order_id bigint not null auto_increment, order_date datetime(6), status varchar(255), delivery_id bigint, member_id bigint, primary key (order_id)) engine=InnoDB|create table orders (order_id bigint not null auto_increment, order_date datetime(6), status varchar(255), delivery_id bigint, member_id bigint, primary key (order_id)) engine=InnoDB
1670203016702|161|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table category add constraint FK2y94svpmqttx80mshyny85wqr foreign key (parent_id) references category (category_id)|alter table category add constraint FK2y94svpmqttx80mshyny85wqr foreign key (parent_id) references category (category_id)
1670203016755|52|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table category_item add constraint FKu8b4lwqutcdq3363gf6mlujq foreign key (item_id) references item (item_id)|alter table category_item add constraint FKu8b4lwqutcdq3363gf6mlujq foreign key (item_id) references item (item_id)
1670203016811|55|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table category_item add constraint FKcq2n0opf5shyh84ex1fhukcbh foreign key (category_id) references category (category_id)|alter table category_item add constraint FKcq2n0opf5shyh84ex1fhukcbh foreign key (category_id) references category (category_id)
1670203016857|45|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table order_item add constraint FKija6hjjiit8dprnmvtvgdp6ru foreign key (item_id) references item (item_id)|alter table order_item add constraint FKija6hjjiit8dprnmvtvgdp6ru foreign key (item_id) references item (item_id)
1670203016911|53|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table order_item add constraint FKt4dc2r9nbvbujrljv3e23iibt foreign key (order_id) references orders (order_id)|alter table order_item add constraint FKt4dc2r9nbvbujrljv3e23iibt foreign key (order_id) references orders (order_id)
1670203016964|52|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table orders add constraint FKtkrur7wg4d8ax0pwgo0vmy20c foreign key (delivery_id) references delivery (delivery_id)|alter table orders add constraint FKtkrur7wg4d8ax0pwgo0vmy20c foreign key (delivery_id) references delivery (delivery_id)
1670203017045|80|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|alter table orders add constraint FKpktxwhj3x9m4gth5ff6bkqgeb foreign key (member_id) references member (member_id)|alter table orders add constraint FKpktxwhj3x9m4gth5ff6bkqgeb foreign key (member_id) references member (member_id)
1670203017157|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into member (city, street, zipcode, name) values (?, ?, ?, ?)|insert into member (city, street, zipcode, name) values ('서울', '1', '1111', 'userA')
1670203017163|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into item (name, price, stock_quantity, author, isbn, dtype) values (?, ?, ?, ?, ?, 'B')|insert into item (name, price, stock_quantity, author, isbn, dtype) values ('JPA1 BOOK', 10000, 100, NULL, NULL, 'B')
1670203017165|0|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into item (name, price, stock_quantity, author, isbn, dtype) values (?, ?, ?, ?, ?, 'B')|insert into item (name, price, stock_quantity, author, isbn, dtype) values ('JPA2 BOOK', 20000, 100, NULL, NULL, 'B')
1670203017170|1|statement|connection 0|url jdbc:p6spy:mysql://localhost:3306/springdb|insert into delivery (city, street, zipcode, status) values (?, ?, ?, ?)|insert into delivery (city, street, zipcode, status) values ('서울', '1', '1111', NULL)
